time,magnetometer,position,,volcano,,picture
seconds,abs,latitude,longitude,name,distance,id
1682186843.827213,37.863787395082866,42.81061654404392,167.66664421748231,Buldir,0.19243781519448194,1017,
1682186844.6516597,38.73645512666237,42.8392920255133,167.72448242905307,Buldir,0.19165415107817918,,
1682186845.1492627,38.70979579278926,42.85661904084742,167.75949056230522,Buldir,0.19118067230586233,,
1682186845.6577408,37.71715913557421,42.87392987959673,167.79451107019995,Buldir,0.1907076733336785,,
1682186846.1574588,37.80859907885425,42.89122875626084,167.82955250090097,Buldir,0.19023504133664698,,
1682186846.6638288,38.17615736637228,42.908518387304845,167.86462040632202,Buldir,0.1897627044768064,,
1682186847.1473997,37.47378891660892,42.925792535785945,167.89970217194752,Buldir,0.1892908355339754,,
1682186847.659705,38.3567484266019,42.94305726964876,167.934810156177,Buldir,0.18881927117060324,,
1682186848.1530874,37.9554319314418,42.96030794752526,167.96993496160766,Buldir,0.18834814060808847,,
1682186848.6482701,37.769587833414306,42.9775481786077,168.00508397399034,Buldir,0.18787734774668224,,
1682186849.1505752,38.03138228172805,42.994774776710905,168.04025073612996,Buldir,0.18740698209217466,,
1682186849.6575892,38.117509973714924,43.01199024357632,168.0754403912914,Buldir,0.18693697785702373,,
1682186850.1483438,37.61575840373937,43.029196007622886,168.11065591121078,Buldir,0.18646729861216865,,
1682186850.6620848,38.34965073144448,43.04638404157939,168.14588089200805,Buldir,0.1859981660451165,,
1682186851.1599393,37.459754727735394,43.06356279214414,168.18113267182954,Buldir,0.18552935220039962,,
1682186851.65903,37.81398570059419,43.08078265586292,168.21651493123315,Buldir,0.18505948470812147,,
1682186852.1518443,37.65842345965451,43.097936535515366,168.2518076504311,Buldir,0.1845914885264354,,
1682186852.6556506,38.23889677531261,43.11520702707325,168.28738684849125,Buldir,0.1841203852246123,,
1682186853.164267,38.19514674552953,43.13233650940673,168.32272183544373,Buldir,0.1836532049089807,,
1682186853.6775603,37.99401228310763,43.14980164888883,168.35879682244015,Buldir,0.18317695157398756,,
1682186854.1716473,38.024315324444515,43.16690703197303,168.39417544501447,Buldir,0.1827105911368213,,
1682186854.6747444,38.16495920055103,43.184305950093496,168.43020876048973,Buldir,0.18223631490621153,,
1682186855.184794,37.91647337235425,43.201389867076976,168.4656365376375,Buldir,0.1817707138418141,,
1682186855.6839216,37.90574286226667,43.218863815322806,168.50192129313814,Buldir,0.18129457695061788,,
1682186856.207001,38.35069446026728,43.2359187590013,168.53738308193036,Buldir,0.18082995207366873,,
1682186856.7048874,38.11464559628217,43.25345794351204,168.57390041252015,Buldir,0.18035223612466492,,
1682186857.2061214,38.24078925297231,43.27048778839646,168.60940464722256,Buldir,0.17988849435032628,,
1682186857.7188795,37.96853777519523,43.28770757261694,168.64535247339572,Buldir,0.17941968506303665,,
1682186858.2266226,38.323267091353735,43.30471233893179,168.68089854505294,Buldir,0.17895683628798112,,
1682186858.7313182,38.604953338413324,43.3222844173206,168.7176798406458,Buldir,0.17847866081850677,,
1682186859.2329526,37.908652787266604,43.33926400961276,168.75326874876387,Buldir,0.17801672252527823,,
1682186859.7296927,38.41562787635646,43.35640886954852,168.7892518542084,Buldir,0.17755040550438547,1016,
1682186860.614741,37.60132621231573,43.38576636670649,168.8509784248938,Buldir,0.17675220544991815,,
1682186861.1168008,37.52161935342235,43.403254420803755,168.88781594833674,Buldir,0.17627690006480387,,
1682186861.612169,37.90006895303568,43.42017305871296,168.92350213373956,Buldir,0.17581720083852465,,
1682186862.1142843,37.73737734032997,43.43708127943181,168.95921375416984,Buldir,0.17535791606466444,,
1682186862.6173604,37.86855495500418,43.45397544995803,168.9949431773771,Buldir,0.17489914774680698,,
1682186863.1210556,38.79783863082795,43.470858529688236,169.03069670046227,Buldir,0.17444081886799717,,
1682186863.6123748,38.04179113602734,43.48772770184528,169.06646839731815,Buldir,0.17398300927959,,
1682186864.1192248,38.11740402480931,43.50458487625488,169.10226235312084,Buldir,0.17352567055951357,,
1682186864.6272497,38.08714935077815,43.52142963330096,169.13807771866243,Buldir,0.17306881755582038,,
1682186865.1239233,38.389309938442814,43.53826172282578,169.1739140011411,Buldir,0.17261246054512816,,
1682186865.633096,37.81525218844336,43.55508264393275,169.2097744368022,Buldir,0.17215656242992494,,
1682186866.124372,38.14173728083982,43.57206485229277,169.24602747601702,Buldir,0.1716964552246191,,
1682186866.6221592,37.94413621919311,43.588859023647714,169.28192742655213,Buldir,0.17124160695525237,,
